id;train_loss;train_acc;val_acc;val_loss
0;1.669198;0.250000;-1.000000;
1;2.832835;0.468750;-1.000000;
2;4.446566;0.093750;-1.000000;
3;2.260352;0.218750;-1.000000;
4;1.592736;0.531250;-1.000000;
5;1.400928;0.406250;-1.000000;
6;1.368201;0.500000;-1.000000;
7;1.453118;0.468750;-1.000000;
8;1.201298;0.562500;-1.000000;
9;1.330123;0.593750;-1.000000;
10;1.548940;0.312500;-1.000000;
11;1.556847;0.250000;-1.000000;
12;1.166524;0.656250;-1.000000;
13;1.495894;0.437500;-1.000000;
14;1.238223;0.531250;-1.000000;
15;1.217629;0.500000;-1.000000;
16;1.708891;0.312500;-1.000000;
17;1.212578;0.625000;-1.000000;
18;1.323805;0.531250;-1.000000;
19;1.230361;0.562500;-1.000000;
20;1.625784;0.406250;-1.000000;
21;1.291564;0.500000;-1.000000;
22;1.330001;0.500000;-1.000000;
23;1.515084;0.406250;-1.000000;
24;1.552349;0.406250;-1.000000;
25;1.131788;0.593750;-1.000000;
26;1.420573;0.437500;-1.000000;
27;1.455678;0.437500;-1.000000;
28;1.003013;0.678571;-1.000000;
29;1.219826;0.468750;-1.000000;
30;1.185569;0.562500;-1.000000;
31;1.302720;0.593750;-1.000000;
32;1.254727;0.437500;-1.000000;
33;0.994379;0.656250;-1.000000;
34;1.404059;0.437500;-1.000000;
35;1.176447;0.656250;-1.000000;
36;1.056478;0.562500;-1.000000;
37;0.885685;0.687500;-1.000000;
38;1.018752;0.593750;-1.000000;
39;1.446508;0.406250;-1.000000;
40;1.413097;0.406250;-1.000000;
41;0.962109;0.656250;-1.000000;
42;1.300503;0.437500;-1.000000;
43;0.846432;0.718750;-1.000000;
44;1.121114;0.500000;-1.000000;
45;1.392761;0.437500;-1.000000;
46;0.968908;0.531250;-1.000000;
47;1.122137;0.593750;-1.000000;
48;1.077444;0.625000;-1.000000;
49;1.341251;0.531250;-1.000000;
50;1.157610;0.500000;-1.000000;
51;1.053144;0.593750;-1.000000;
52;1.387689;0.468750;-1.000000;
53;1.313767;0.468750;-1.000000;
54;0.992186;0.593750;-1.000000;
55;1.322294;0.500000;-1.000000;
56;1.360695;0.500000;-1.000000;
57;0.809992;0.714286;-1.000000;
58;1.159541;0.500000;-1.000000;
59;1.079588;0.593750;-1.000000;
60;1.117237;0.500000;-1.000000;
61;1.039992;0.625000;-1.000000;
62;0.875884;0.625000;-1.000000;
63;1.195838;0.500000;-1.000000;
64;1.145328;0.531250;-1.000000;
65;1.057216;0.500000;-1.000000;
66;0.806272;0.687500;-1.000000;
67;0.951208;0.656250;-1.000000;
68;1.173108;0.593750;-1.000000;
69;1.181534;0.531250;-1.000000;
70;0.912011;0.625000;-1.000000;
71;1.197114;0.500000;-1.000000;
72;1.019410;0.562500;-1.000000;
73;1.084225;0.562500;-1.000000;
74;1.239133;0.468750;-1.000000;
75;1.015444;0.625000;-1.000000;
76;0.939533;0.656250;-1.000000;
77;0.981351;0.656250;-1.000000;
78;1.171586;0.468750;-1.000000;
79;0.969685;0.625000;-1.000000;
80;1.169508;0.500000;-1.000000;
81;1.324184;0.406250;-1.000000;
82;1.270854;0.531250;-1.000000;
83;0.922800;0.593750;-1.000000;
84;1.086017;0.625000;-1.000000;
85;1.169420;0.593750;-1.000000;
86;0.666204;0.785714;-1.000000;
87;0.977843;0.593750;-1.000000;
88;0.962659;0.625000;-1.000000;
89;1.006755;0.656250;-1.000000;
90;1.024516;0.562500;-1.000000;
91;0.777662;0.718750;-1.000000;
92;1.165306;0.468750;-1.000000;
93;0.877123;0.656250;-1.000000;
94;1.066989;0.468750;-1.000000;
95;0.772338;0.750000;-1.000000;
96;0.860251;0.625000;-1.000000;
97;1.030535;0.562500;-1.000000;
98;1.187186;0.562500;-1.000000;
99;0.688070;0.750000;-1.000000;
100;0.969628;0.656250;-1.000000;
101;0.615133;0.843750;-1.000000;
102;0.999220;0.656250;-1.000000;
103;1.336870;0.562500;-1.000000;
104;0.790491;0.718750;-1.000000;
105;0.819804;0.625000;-1.000000;
106;0.607045;0.781250;-1.000000;
107;1.034199;0.562500;-1.000000;
108;1.079149;0.593750;-1.000000;
109;1.054631;0.593750;-1.000000;
110;1.244044;0.562500;-1.000000;
111;1.212008;0.562500;-1.000000;
112;0.724480;0.750000;-1.000000;
113;0.908712;0.656250;-1.000000;
114;0.973204;0.687500;-1.000000;
115;0.621739;0.785714;-1.000000;
116;0.904115;0.562500;-1.000000;
117;0.977116;0.625000;-1.000000;
118;0.873328;0.718750;-1.000000;
119;0.881862;0.593750;-1.000000;
120;0.769005;0.687500;-1.000000;
121;1.056775;0.656250;-1.000000;
122;0.793635;0.781250;-1.000000;
123;0.749018;0.718750;-1.000000;
124;0.618796;0.843750;-1.000000;
125;0.828363;0.625000;-1.000000;
126;0.963373;0.656250;-1.000000;
127;1.065607;0.562500;-1.000000;
128;0.718213;0.812500;-1.000000;
129;0.982456;0.593750;-1.000000;
130;0.791202;0.750000;-1.000000;
131;0.924749;0.593750;-1.000000;
132;1.004901;0.562500;-1.000000;
133;0.700902;0.750000;-1.000000;
134;0.839444;0.656250;-1.000000;
135;0.822947;0.656250;-1.000000;
136;0.881145;0.750000;-1.000000;
137;0.881732;0.687500;-1.000000;
138;0.880150;0.656250;-1.000000;
139;1.194234;0.531250;-1.000000;
140;1.120883;0.562500;-1.000000;
141;0.778845;0.687500;-1.000000;
142;0.861894;0.687500;-1.000000;
143;0.948277;0.625000;-1.000000;
144;0.533876;0.857143;-1.000000;
145;0.853975;0.625000;-1.000000;
146;0.932870;0.625000;-1.000000;
147;1.025937;0.656250;-1.000000;
148;0.805134;0.656250;-1.000000;
149;0.705128;0.656250;-1.000000;
150;1.001957;0.656250;-1.000000;
151;0.886962;0.656250;-1.000000;
152;0.836349;0.656250;-1.000000;
153;0.429868;0.906250;-1.000000;
154;0.811346;0.656250;-1.000000;
155;0.948956;0.656250;-1.000000;
156;0.787691;0.656250;-1.000000;
157;0.687355;0.781250;-1.000000;
158;0.763471;0.781250;-1.000000;
159;0.616891;0.750000;-1.000000;
160;0.729457;0.718750;-1.000000;
161;1.007208;0.593750;-1.000000;
162;0.565621;0.875000;-1.000000;
163;0.772601;0.687500;-1.000000;
164;0.482289;0.843750;-1.000000;
165;1.001923;0.593750;-1.000000;
166;0.743007;0.750000;-1.000000;
167;0.628342;0.843750;-1.000000;
168;1.043494;0.531250;-1.000000;
169;1.044757;0.718750;-1.000000;
170;0.626963;0.781250;-1.000000;
171;0.801198;0.656250;-1.000000;
172;0.899023;0.625000;-1.000000;
173;0.503377;0.928571;-1.000000;
174;0.760620;0.781250;-1.000000;
175;0.696171;0.781250;-1.000000;
176;0.860071;0.718750;-1.000000;
177;0.676889;0.812500;-1.000000;
178;0.562551;0.750000;-1.000000;
179;0.938404;0.656250;-1.000000;
180;0.671000;0.781250;-1.000000;
181;0.634981;0.812500;-1.000000;
182;0.521473;0.843750;-1.000000;
183;0.663235;0.781250;-1.000000;
184;0.813303;0.687500;-1.000000;
185;0.774495;0.718750;-1.000000;
186;0.751251;0.781250;-1.000000;
187;0.721804;0.812500;-1.000000;
188;0.603499;0.781250;-1.000000;
189;0.626610;0.687500;-1.000000;
190;0.925377;0.656250;-1.000000;
191;0.613772;0.812500;-1.000000;
192;0.777425;0.687500;-1.000000;
193;0.549548;0.875000;-1.000000;
194;0.743999;0.687500;-1.000000;
195;0.798307;0.656250;-1.000000;
196;0.549354;0.781250;-1.000000;
197;0.702126;0.750000;-1.000000;
198;1.012397;0.656250;-1.000000;
199;0.542298;0.812500;-1.000000;
200;0.889355;0.625000;-1.000000;
201;0.737134;0.750000;-1.000000;
202;0.541356;0.821429;-1.000000;
203;0.790240;0.562500;-1.000000;
204;0.530933;0.843750;-1.000000;
205;0.748531;0.750000;-1.000000;
206;0.740084;0.656250;-1.000000;
207;0.498688;0.843750;-1.000000;
208;0.822444;0.687500;-1.000000;
209;0.647604;0.843750;-1.000000;
210;0.704016;0.687500;-1.000000;
211;0.511595;0.875000;-1.000000;
212;0.810984;0.656250;-1.000000;
213;0.910910;0.625000;-1.000000;
214;0.792522;0.687500;-1.000000;
215;0.546746;0.843750;-1.000000;
216;0.595319;0.843750;-1.000000;
217;0.502724;0.812500;-1.000000;
218;0.666912;0.687500;-1.000000;
219;0.877561;0.656250;-1.000000;
220;0.399683;0.906250;-1.000000;
221;0.662213;0.781250;-1.000000;
222;0.310531;0.843750;-1.000000;
223;0.768743;0.718750;-1.000000;
224;0.629380;0.750000;-1.000000;
225;0.412691;0.906250;-1.000000;
226;0.814944;0.750000;-1.000000;
227;1.115128;0.593750;-1.000000;
228;0.502119;0.843750;-1.000000;
229;0.499743;0.843750;-1.000000;
230;0.957676;0.562500;-1.000000;
231;0.379467;0.857143;-1.000000;
232;0.766831;0.750000;-1.000000;
233;0.641494;0.781250;-1.000000;
234;0.690918;0.750000;-1.000000;
235;0.725993;0.750000;-1.000000;
236;0.655027;0.781250;-1.000000;
237;0.865510;0.750000;-1.000000;
238;0.535280;0.750000;-1.000000;
239;0.653880;0.781250;-1.000000;
240;0.381997;0.843750;-1.000000;
241;0.636157;0.718750;-1.000000;
242;0.859200;0.718750;-1.000000;
243;0.660693;0.781250;-1.000000;
244;0.569891;0.750000;-1.000000;
245;0.619894;0.812500;-1.000000;
246;0.476671;0.781250;-1.000000;
247;0.577595;0.750000;-1.000000;
248;0.660546;0.656250;-1.000000;
249;0.457300;0.906250;-1.000000;
250;0.515537;0.812500;-1.000000;
251;0.595692;0.843750;-1.000000;
252;0.773765;0.625000;-1.000000;
253;0.699817;0.750000;-1.000000;
254;0.550923;0.812500;-1.000000;
255;0.837069;0.625000;-1.000000;
256;0.642230;0.781250;-1.000000;
257;0.405131;0.843750;-1.000000;
258;0.578918;0.750000;-1.000000;
259;0.592119;0.812500;-1.000000;
260;0.423000;0.892857;-1.000000;
261;0.702275;0.687500;-1.000000;
262;0.561662;0.718750;-1.000000;
263;0.667085;0.718750;-1.000000;
264;0.639548;0.750000;-1.000000;
265;0.485802;0.843750;-1.000000;
266;0.495101;0.812500;-1.000000;
267;0.627350;0.781250;-1.000000;
268;0.645537;0.750000;-1.000000;
269;0.323998;0.875000;-1.000000;
270;0.513307;0.781250;-1.000000;
271;0.672272;0.687500;-1.000000;
272;0.708264;0.718750;-1.000000;
273;0.410082;0.875000;-1.000000;
274;0.511119;0.875000;-1.000000;
275;0.472972;0.875000;-1.000000;
276;0.711248;0.718750;-1.000000;
277;0.623458;0.843750;-1.000000;
278;0.361683;0.906250;-1.000000;
279;0.522778;0.750000;-1.000000;
280;0.468132;0.781250;-1.000000;
281;0.483265;0.812500;-1.000000;
282;0.586319;0.812500;-1.000000;
283;0.545145;0.812500;-1.000000;
284;0.592716;0.843750;-1.000000;
285;0.711316;0.718750;-1.000000;
286;0.387862;1.000000;-1.000000;
287;0.861359;0.750000;-1.000000;
288;0.687758;0.718750;-1.000000;
289;0.388564;0.892857;-1.000000;
290;0.498333;0.843750;-1.000000;
291;0.449964;0.812500;-1.000000;
292;0.707715;0.718750;-1.000000;
293;0.582453;0.750000;-1.000000;
294;0.500486;0.812500;-1.000000;
295;0.583751;0.781250;-1.000000;
296;0.624076;0.812500;-1.000000;
297;0.497135;0.843750;-1.000000;
298;0.459822;0.843750;-1.000000;
299;0.535382;0.843750;-1.000000;
300;0.713841;0.750000;-1.000000;
301;0.571345;0.812500;-1.000000;
302;0.448045;0.843750;-1.000000;
303;0.445734;0.843750;-1.000000;
304;0.541540;0.781250;-1.000000;
305;0.494322;0.812500;-1.000000;
306;0.992424;0.625000;-1.000000;
307;0.401722;0.906250;-1.000000;
308;0.390496;0.843750;-1.000000;
309;0.378342;0.906250;-1.000000;
310;0.657679;0.781250;-1.000000;
311;0.495479;0.843750;-1.000000;
312;0.396070;0.937500;-1.000000;
313;0.534538;0.781250;-1.000000;
314;0.687445;0.781250;-1.000000;
315;0.504645;0.843750;-1.000000;
316;0.524855;0.812500;-1.000000;
317;0.534222;0.843750;-1.000000;
318;0.365881;0.857143;-1.000000;
319;0.500390;0.875000;-1.000000;
320;0.491724;0.812500;-1.000000;
321;0.600405;0.843750;-1.000000;
322;0.525568;0.875000;-1.000000;
323;0.530424;0.812500;-1.000000;
324;0.690060;0.750000;-1.000000;
325;0.525902;0.750000;-1.000000;
326;0.352873;0.937500;-1.000000;
327;0.350897;0.812500;-1.000000;
328;0.613325;0.812500;-1.000000;
329;0.619243;0.812500;-1.000000;
330;0.415098;0.875000;-1.000000;
331;0.431638;0.906250;-1.000000;
332;0.543034;0.781250;-1.000000;
333;0.548418;0.812500;-1.000000;
334;0.366601;0.875000;-1.000000;
335;0.527481;0.875000;-1.000000;
336;0.421136;0.937500;-1.000000;
337;0.591355;0.812500;-1.000000;
338;0.215913;0.968750;-1.000000;
339;0.326400;0.875000;-1.000000;
340;0.433056;0.843750;-1.000000;
341;0.435263;0.812500;-1.000000;
342;0.676635;0.656250;-1.000000;
343;0.560036;0.812500;-1.000000;
344;0.418562;0.875000;-1.000000;
345;0.441823;0.812500;-1.000000;
346;0.620169;0.812500;-1.000000;
347;0.211435;0.964286;-1.000000;
348;0.416881;0.875000;-1.000000;
349;0.499560;0.750000;-1.000000;
350;0.545202;0.812500;-1.000000;
351;0.603883;0.875000;-1.000000;
352;0.271056;0.937500;-1.000000;
353;0.480746;0.812500;-1.000000;
354;0.447999;0.812500;-1.000000;
355;0.382846;0.875000;-1.000000;
356;0.504364;0.843750;-1.000000;
357;0.337686;0.875000;-1.000000;
