id;train_loss;train_acc;val_acc;val_loss
0;1.475722;0.433983;0.484848;
1;1.335539;0.496753;0.505051;
2;1.295015;0.517316;0.505051;
3;1.240054;0.518398;0.505051;
4;1.232429;0.525974;0.515152;
5;1.193312;0.527056;0.510101;
6;1.186588;0.547619;0.520202;
7;1.176056;0.549784;0.525253;
8;1.138488;0.553030;0.515152;
9;1.126198;0.582251;0.510101;
10;1.121593;0.581169;0.520202;
11;1.090323;0.590909;0.525253;
12;1.078255;0.594156;0.525253;
13;1.048905;0.610390;0.525253;
14;1.042726;0.601732;0.500000;
15;1.013886;0.621212;0.520202;
16;1.015821;0.621212;0.520202;
17;0.996214;0.626623;0.520202;
18;0.964703;0.639610;0.515152;
19;0.948787;0.650433;0.510101;
20;0.920965;0.665584;0.494949;
21;0.901896;0.679654;0.510101;
22;0.894532;0.669913;0.494949;
23;0.854658;0.689394;0.505051;
24;0.848726;0.689394;0.520202;
25;0.841384;0.680736;0.489899;
26;0.794363;0.709957;0.474747;
27;0.794998;0.719697;0.484848;
28;0.785863;0.721861;0.479798;
29;0.761923;0.733766;0.459596;
30;0.728213;0.744589;0.484848;
31;0.714397;0.746753;0.484848;
32;0.688473;0.758658;0.464646;
33;0.660460;0.766234;0.489899;
34;0.631534;0.762987;0.479798;
35;0.646856;0.761905;0.484848;
36;0.609523;0.779221;0.479798;
37;0.595131;0.786797;0.484848;
38;0.590606;0.790043;0.454545;
39;0.584865;0.785714;0.469697;
40;0.517287;0.829004;0.479798;
41;0.544439;0.808442;0.454545;
42;0.518118;0.817100;0.464646;
43;0.493952;0.830087;0.479798;
44;0.457914;0.852814;0.484848;
45;0.488026;0.831169;0.454545;
46;0.429258;0.854978;0.459596;
47;0.405740;0.865801;0.474747;
48;0.412583;0.865801;0.479798;
49;0.389181;0.871212;0.469697;
50;0.387089;0.867965;0.459596;
51;0.357831;0.884199;0.454545;
52;0.345327;0.885281;0.439394;
53;0.341686;0.896104;0.464646;
54;0.308428;0.909091;0.474747;
55;0.290941;0.912338;0.459596;
56;0.287653;0.913420;0.469697;
57;0.294829;0.892857;0.459596;
58;0.280630;0.905844;0.459596;
59;0.259150;0.918831;0.459596;
60;0.254489;0.916667;0.469697;
61;0.232465;0.925325;0.489899;
62;0.202352;0.944805;0.489899;
63;0.222012;0.931818;0.489899;
64;0.209968;0.933983;0.479798;
65;0.183703;0.951299;0.459596;
66;0.187266;0.938312;0.469697;
67;0.176590;0.951299;0.459596;
68;0.183001;0.944805;0.474747;
69;0.169185;0.950216;0.444444;
70;0.171823;0.945887;0.459596;
71;0.153499;0.957792;0.474747;
72;0.138918;0.964286;0.469697;
73;0.138647;0.963203;0.459596;
74;0.123652;0.968615;0.459596;
75;0.131333;0.965368;0.484848;
76;0.121566;0.966450;0.459596;
77;0.128392;0.961039;0.454545;
78;0.099860;0.979437;0.469697;
79;0.103130;0.972944;0.454545;
80;0.099361;0.975108;0.464646;
81;0.112383;0.968615;0.479798;
82;0.091051;0.979437;0.479798;
83;0.110104;0.963203;0.469697;
84;0.081254;0.978355;0.479798;
85;0.068982;0.987013;0.479798;
86;0.074548;0.981602;0.464646;
87;0.075622;0.980519;0.474747;
88;0.072823;0.982684;0.494949;
89;0.054429;0.984848;0.479798;
90;0.061745;0.989177;0.474747;
91;0.067979;0.980519;0.500000;
92;0.053085;0.989177;0.484848;
93;0.055806;0.987013;0.454545;
94;0.061674;0.980519;0.474747;
95;0.035468;0.993506;0.459596;
96;0.050412;0.988095;0.469697;
97;0.042641;0.990260;0.484848;
98;0.042349;0.989177;0.474747;
99;0.041566;0.989177;0.459596;
100;0.048059;0.985931;0.459596;
101;0.034328;0.991342;0.474747;
102;0.049050;0.987013;0.474747;
103;0.033478;0.993506;0.474747;
104;0.033408;0.992424;0.474747;
105;0.029290;0.995671;0.459596;
106;0.042025;0.983766;0.474747;
107;0.033866;0.993506;0.449495;
108;0.033931;0.994589;0.474747;
109;0.029246;0.994589;0.469697;
110;0.031002;0.993506;0.449495;
111;0.019017;0.995671;0.469697;
112;0.022680;0.997835;0.464646;
113;0.019820;0.996753;0.459596;
114;0.030465;0.992424;0.484848;
115;0.021298;0.994589;0.459596;
116;0.024020;0.993506;0.439394;
117;0.018193;0.995671;0.464646;
118;0.044486;0.984848;0.459596;
119;0.018015;0.996753;0.484848;
120;0.012320;0.997835;0.474747;
121;0.027231;0.990260;0.454545;
122;0.013024;0.997835;0.479798;
123;0.024386;0.991342;0.479798;
124;0.025659;0.990260;0.469697;
125;0.021354;0.994589;0.439394;
126;0.014167;0.997835;0.464646;
127;0.021718;0.991342;0.434343;
128;0.018768;0.996753;0.469697;
129;0.024708;0.993506;0.474747;
130;0.022746;0.995671;0.449495;
131;0.006531;1.000000;0.454545;
132;0.019097;0.992424;0.494949;
133;0.022100;0.993506;0.444444;
134;0.015030;0.995671;0.474747;
135;0.016032;0.996753;0.469697;
136;0.021107;0.993506;0.474747;
137;0.019074;0.991342;0.449495;
138;0.007457;1.000000;0.459596;
139;0.007410;0.998918;0.454545;
140;0.010984;0.996753;0.449495;
141;0.012172;0.996753;0.454545;
142;0.015573;0.995671;0.469697;
143;0.006252;1.000000;0.459596;
144;0.007129;0.998918;0.449495;
145;0.011604;0.995671;0.454545;
146;0.007547;1.000000;0.474747;
147;0.011624;0.996753;0.469697;
148;0.010653;0.997835;0.449495;
149;0.006751;0.998918;0.429293;
150;0.009319;0.997835;0.444444;
151;0.009700;0.996753;0.464646;
152;0.007669;0.997835;0.484848;
153;0.014238;0.995671;0.479798;
154;0.008598;0.997835;0.469697;
155;0.004033;1.000000;0.469697;
156;0.006644;0.998918;0.474747;
157;0.005590;0.998918;0.474747;
158;0.015130;0.997835;0.469697;
159;0.012803;0.996753;0.459596;
160;0.010994;0.995671;0.479798;
161;0.008167;0.998918;0.469697;
162;0.010942;0.998918;0.479798;
163;0.003109;1.000000;0.474747;
164;0.011844;0.996753;0.409091;
165;0.008179;0.996753;0.439394;
166;0.004571;1.000000;0.459596;
167;0.005535;0.998918;0.454545;
168;0.004785;0.998918;0.459596;
169;0.005543;0.998918;0.464646;
170;0.003581;0.998918;0.469697;
171;0.004812;0.998918;0.469697;
172;0.005437;0.997835;0.459596;
173;0.003421;1.000000;0.444444;
174;0.005075;0.997835;0.444444;
175;0.007506;0.996753;0.469697;
176;0.014401;0.992424;0.469697;
177;0.004043;1.000000;0.474747;
178;0.004000;0.998918;0.474747;
179;0.001298;1.000000;0.449495;
180;0.008650;0.997835;0.484848;
181;0.010584;0.996753;0.469697;
182;0.005881;0.998918;0.454545;
183;0.031011;0.994589;0.469697;
184;0.001636;1.000000;0.459596;
185;0.003905;0.998918;0.444444;
186;0.005029;0.998918;0.464646;
187;0.002531;1.000000;0.454545;
188;0.003611;1.000000;0.479798;
189;0.010888;0.994589;0.479798;
190;0.005705;0.997835;0.459596;
191;0.003617;0.998918;0.484848;
192;0.005000;0.997835;0.444444;
193;0.003952;0.997835;0.454545;
194;0.003160;0.998918;0.469697;
195;0.002998;0.998918;0.484848;
196;0.000897;1.000000;0.444444;
197;0.003004;0.998918;0.515152;
198;0.000901;1.000000;0.469697;
199;0.016324;0.997835;0.474747;
200;0.006677;0.997835;0.444444;
201;0.012577;0.995671;0.449495;
202;0.001774;1.000000;0.444444;
203;0.003127;1.000000;0.459596;
204;0.004227;0.998918;0.489899;
205;0.001810;1.000000;0.449495;
206;0.001359;1.000000;0.444444;
207;0.005806;0.997835;0.464646;
208;0.001833;1.000000;0.464646;
209;0.003598;0.998918;0.469697;
210;0.009285;0.994589;0.464646;
211;0.003418;0.998918;0.459596;
212;0.004708;0.997835;0.464646;
213;0.000848;1.000000;0.439394;
214;0.001274;1.000000;0.454545;
215;0.011193;0.995671;0.454545;
216;0.001083;1.000000;0.454545;
217;0.005925;0.998918;0.459596;
218;0.001230;1.000000;0.479798;
219;0.000425;1.000000;0.469697;
220;0.006745;0.997835;0.489899;
221;0.009315;0.996753;0.484848;
222;0.002000;1.000000;0.479798;
223;0.000522;1.000000;0.474747;
224;0.008066;0.997835;0.469697;
225;0.001988;0.998918;0.459596;
226;0.001894;0.998918;0.444444;
227;0.003864;0.997835;0.444444;
228;0.000408;1.000000;0.444444;
229;0.000615;1.000000;0.474747;
230;0.003312;0.998918;0.489899;
231;0.000726;1.000000;0.464646;
232;0.010328;0.996753;0.474747;
233;0.001042;1.000000;0.469697;
234;0.000775;1.000000;0.479798;
235;0.000197;1.000000;0.474747;
236;0.002999;0.998918;0.459596;
237;0.001812;1.000000;0.459596;
238;0.001989;0.998918;0.454545;
239;0.002379;1.000000;0.449495;
240;0.013602;0.997835;0.449495;
241;0.004471;0.997835;0.439394;
242;0.001121;1.000000;0.469697;
243;0.000220;1.000000;0.464646;
244;0.007498;0.998918;0.444444;
245;0.003109;0.998918;0.459596;
246;0.000328;1.000000;0.449495;
247;0.002689;0.998918;0.449495;
248;0.003752;0.998918;0.469697;
249;0.002676;0.998918;0.479798;
