id;train_loss;train_acc;val_acc;val_loss
0;1.637174;0.156250;-1.000000;
1;1.629967;0.156250;-1.000000;
2;1.614220;0.125000;-1.000000;
3;1.612866;0.125000;-1.000000;
4;1.603945;0.343750;-1.000000;
5;1.610920;0.437500;-1.000000;
6;1.596932;0.468750;-1.000000;
7;1.597742;0.437500;-1.000000;
8;1.582428;0.625000;-1.000000;
9;1.576217;0.593750;-1.000000;
10;1.596380;0.343750;-1.000000;
11;1.582444;0.406250;-1.000000;
12;1.559031;0.656250;-1.000000;
13;1.577289;0.437500;-1.000000;
14;1.567981;0.500000;-1.000000;
15;1.558105;0.531250;-1.000000;
16;1.571974;0.375000;-1.000000;
17;1.558224;0.468750;-1.000000;
18;1.553798;0.468750;-1.000000;
19;1.538952;0.562500;-1.000000;
20;1.549248;0.468750;-1.000000;
21;1.568125;0.406250;-1.000000;
22;1.528350;0.562500;-1.000000;
23;1.562300;0.406250;-1.000000;
24;1.520887;0.531250;-1.000000;
25;1.503396;0.593750;-1.000000;
26;1.535009;0.437500;-1.000000;
27;1.541414;0.437500;-1.000000;
28;1.461662;0.642857;-1.000000;
29;1.527392;0.437500;-1.000000;
30;1.503779;0.468750;-1.000000;
31;1.532834;0.468750;-1.000000;
32;1.512204;0.468750;-1.000000;
33;1.480268;0.562500;-1.000000;
34;1.522095;0.468750;-1.000000;
35;1.475972;0.531250;-1.000000;
36;1.504653;0.437500;-1.000000;
37;1.433963;0.625000;-1.000000;
38;1.457055;0.593750;-1.000000;
39;1.556347;0.343750;-1.000000;
40;1.508401;0.406250;-1.000000;
41;1.423062;0.656250;-1.000000;
42;1.486580;0.437500;-1.000000;
43;1.471459;0.500000;-1.000000;
44;1.438361;0.531250;-1.000000;
45;1.515836;0.375000;-1.000000;
46;1.467746;0.468750;-1.000000;
47;1.473017;0.468750;-1.000000;
48;1.422188;0.562500;-1.000000;
49;1.465665;0.468750;-1.000000;
50;1.517756;0.406250;-1.000000;
51;1.411196;0.562500;-1.000000;
52;1.519363;0.406250;-1.000000;
53;1.396932;0.531250;-1.000000;
54;1.375154;0.593750;-1.000000;
55;1.452031;0.437500;-1.000000;
56;1.476979;0.437500;-1.000000;
57;1.294164;0.642857;-1.000000;
58;1.454960;0.437500;-1.000000;
59;1.405661;0.468750;-1.000000;
60;1.460940;0.468750;-1.000000;
61;1.413580;0.468750;-1.000000;
62;1.357387;0.562500;-1.000000;
63;1.440870;0.468750;-1.000000;
64;1.348888;0.531250;-1.000000;
65;1.425241;0.437500;-1.000000;
66;1.280293;0.625000;-1.000000;
67;1.328614;0.593750;-1.000000;
68;1.547447;0.343750;-1.000000;
69;1.444070;0.406250;-1.000000;
70;1.271168;0.656250;-1.000000;
71;1.413062;0.437500;-1.000000;
72;1.393501;0.500000;-1.000000;
73;1.335900;0.531250;-1.000000;
74;1.487629;0.375000;-1.000000;
75;1.411605;0.468750;-1.000000;
76;1.411879;0.468750;-1.000000;
77;1.321782;0.562500;-1.000000;
78;1.424222;0.468750;-1.000000;
79;1.494392;0.406250;-1.000000;
80;1.324885;0.562500;-1.000000;
81;1.504580;0.406250;-1.000000;
82;1.290106;0.531250;-1.000000;
83;1.282025;0.593750;-1.000000;
84;1.394312;0.437500;-1.000000;
85;1.463521;0.437500;-1.000000;
86;1.169125;0.642857;-1.000000;
87;1.437403;0.437500;-1.000000;
88;1.368768;0.468750;-1.000000;
89;1.444433;0.468750;-1.000000;
90;1.373427;0.468750;-1.000000;
91;1.284294;0.562500;-1.000000;
92;1.412873;0.468750;-1.000000;
93;1.289855;0.531250;-1.000000;
94;1.402406;0.437500;-1.000000;
95;1.204819;0.625000;-1.000000;
96;1.265535;0.593750;-1.000000;
97;1.560889;0.343750;-1.000000;
98;1.424431;0.406250;-1.000000;
99;1.198294;0.656250;-1.000000;
100;1.392806;0.437500;-1.000000;
101;1.363586;0.500000;-1.000000;
102;1.297956;0.531250;-1.000000;
103;1.497423;0.375000;-1.000000;
104;1.412600;0.468750;-1.000000;
105;1.398042;0.468750;-1.000000;
106;1.294630;0.562500;-1.000000;
107;1.427305;0.468750;-1.000000;
108;1.497535;0.406250;-1.000000;
109;1.313217;0.562500;-1.000000;
110;1.516203;0.406250;-1.000000;
111;1.258557;0.531250;-1.000000;
112;1.251338;0.593750;-1.000000;
113;1.384460;0.437500;-1.000000;
114;1.470777;0.437500;-1.000000;
115;1.133822;0.642857;-1.000000;
116;1.428764;0.437500;-1.000000;
117;1.349134;0.468750;-1.000000;
118;1.446093;0.468750;-1.000000;
119;1.363102;0.468750;-1.000000;
120;1.273407;0.562500;-1.000000;
121;1.396987;0.468750;-1.000000;
122;1.277288;0.531250;-1.000000;
123;1.395510;0.437500;-1.000000;
124;1.198063;0.625000;-1.000000;
125;1.257128;0.593750;-1.000000;
126;1.555418;0.343750;-1.000000;
127;1.423904;0.406250;-1.000000;
128;1.185097;0.656250;-1.000000;
129;1.380250;0.437500;-1.000000;
130;1.363172;0.500000;-1.000000;
131;1.288182;0.531250;-1.000000;
132;1.486949;0.375000;-1.000000;
133;1.416057;0.468750;-1.000000;
134;1.398414;0.468750;-1.000000;
135;1.302746;0.562500;-1.000000;
136;1.436284;0.468750;-1.000000;
137;1.498715;0.406250;-1.000000;
138;1.314578;0.562500;-1.000000;
139;1.509773;0.406250;-1.000000;
140;1.250653;0.531250;-1.000000;
141;1.251895;0.593750;-1.000000;
142;1.365204;0.437500;-1.000000;
143;1.473735;0.437500;-1.000000;
144;1.126164;0.642857;-1.000000;
145;1.427207;0.437500;-1.000000;
146;1.343954;0.468750;-1.000000;
147;1.450471;0.468750;-1.000000;
148;1.372618;0.468750;-1.000000;
149;1.271092;0.562500;-1.000000;
150;1.386710;0.468750;-1.000000;
151;1.265433;0.531250;-1.000000;
152;1.398019;0.437500;-1.000000;
153;1.198870;0.625000;-1.000000;
154;1.258200;0.593750;-1.000000;
155;1.546367;0.343750;-1.000000;
156;1.413987;0.406250;-1.000000;
157;1.190036;0.656250;-1.000000;
158;1.375020;0.437500;-1.000000;
159;1.356620;0.500000;-1.000000;
160;1.276412;0.531250;-1.000000;
161;1.489080;0.375000;-1.000000;
162;1.420301;0.468750;-1.000000;
163;1.398926;0.468750;-1.000000;
164;1.299970;0.562500;-1.000000;
165;1.421652;0.468750;-1.000000;
166;1.503987;0.406250;-1.000000;
167;1.317966;0.562500;-1.000000;
168;1.506952;0.406250;-1.000000;
169;1.253945;0.531250;-1.000000;
170;1.249957;0.593750;-1.000000;
171;1.368698;0.437500;-1.000000;
172;1.484893;0.437500;-1.000000;
173;1.120709;0.642857;-1.000000;
174;1.423337;0.437500;-1.000000;
175;1.339844;0.468750;-1.000000;
176;1.449952;0.468750;-1.000000;
177;1.370971;0.468750;-1.000000;
178;1.276087;0.562500;-1.000000;
179;1.388747;0.468750;-1.000000;
180;1.265129;0.531250;-1.000000;
181;1.383608;0.437500;-1.000000;
182;1.195524;0.625000;-1.000000;
183;1.259174;0.593750;-1.000000;
184;1.543167;0.343750;-1.000000;
185;1.419489;0.406250;-1.000000;
186;1.186357;0.656250;-1.000000;
187;1.381912;0.437500;-1.000000;
188;1.353377;0.500000;-1.000000;
189;1.273567;0.531250;-1.000000;
190;1.500619;0.375000;-1.000000;
191;1.414304;0.468750;-1.000000;
192;1.398725;0.468750;-1.000000;
193;1.292642;0.562500;-1.000000;
194;1.428764;0.468750;-1.000000;
195;1.493113;0.406250;-1.000000;
196;1.325344;0.562500;-1.000000;
197;1.500375;0.406250;-1.000000;
198;1.253263;0.531250;-1.000000;
199;1.250035;0.593750;-1.000000;
200;1.358223;0.437500;-1.000000;
201;1.485599;0.437500;-1.000000;
202;1.117943;0.642857;-1.000000;
203;1.428664;0.437500;-1.000000;
204;1.337031;0.468750;-1.000000;
205;1.451382;0.468750;-1.000000;
206;1.368593;0.468750;-1.000000;
207;1.271273;0.562500;-1.000000;
