id;train_loss;train_acc;val_acc;val_loss
0;1.619658;0.343750;-1.000000;
1;1.480514;0.468750;-1.000000;
2;1.492026;0.468750;-1.000000;
3;1.491578;0.468750;-1.000000;
4;1.377784;0.562500;-1.000000;
5;1.459318;0.468750;-1.000000;
6;1.394471;0.531250;-1.000000;
7;1.461163;0.437500;-1.000000;
8;1.271158;0.625000;-1.000000;
9;1.286329;0.593750;-1.000000;
10;1.544558;0.343750;-1.000000;
11;1.476892;0.406250;-1.000000;
12;1.241512;0.656250;-1.000000;
13;1.437685;0.437500;-1.000000;
14;1.347779;0.500000;-1.000000;
15;1.328945;0.531250;-1.000000;
16;1.516670;0.375000;-1.000000;
17;1.448215;0.468750;-1.000000;
18;1.385605;0.468750;-1.000000;
19;1.314630;0.562500;-1.000000;
20;1.449065;0.468750;-1.000000;
21;1.462581;0.406250;-1.000000;
22;1.323309;0.562500;-1.000000;
23;1.495342;0.406250;-1.000000;
24;1.316911;0.531250;-1.000000;
25;1.211513;0.593750;-1.000000;
26;1.391918;0.437500;-1.000000;
27;1.455003;0.437500;-1.000000;
28;1.170283;0.642857;-1.000000;
29;1.459848;0.437500;-1.000000;
30;1.380962;0.468750;-1.000000;
31;1.427108;0.468750;-1.000000;
32;1.441210;0.468750;-1.000000;
33;1.268872;0.562500;-1.000000;
34;1.345924;0.468750;-1.000000;
35;1.298271;0.531250;-1.000000;
36;1.403100;0.437500;-1.000000;
37;1.201788;0.625000;-1.000000;
38;1.277990;0.593750;-1.000000;
39;1.552533;0.343750;-1.000000;
40;1.456780;0.406250;-1.000000;
41;1.151706;0.656250;-1.000000;
42;1.410026;0.437500;-1.000000;
43;1.357775;0.500000;-1.000000;
44;1.292685;0.531250;-1.000000;
45;1.533802;0.375000;-1.000000;
46;1.460677;0.468750;-1.000000;
47;1.403479;0.468750;-1.000000;
48;1.270152;0.562500;-1.000000;
49;1.421142;0.468750;-1.000000;
50;1.508936;0.406250;-1.000000;
51;1.318729;0.562500;-1.000000;
52;1.489168;0.406250;-1.000000;
53;1.312960;0.531250;-1.000000;
54;1.227045;0.593750;-1.000000;
55;1.391300;0.437500;-1.000000;
56;1.501396;0.437500;-1.000000;
57;1.143624;0.642857;-1.000000;
58;1.451437;0.437500;-1.000000;
59;1.362072;0.468750;-1.000000;
60;1.430804;0.468750;-1.000000;
61;1.444332;0.468750;-1.000000;
62;1.267398;0.562500;-1.000000;
63;1.343121;0.468750;-1.000000;
64;1.276297;0.531250;-1.000000;
65;1.420586;0.437500;-1.000000;
66;1.201798;0.625000;-1.000000;
67;1.239967;0.593750;-1.000000;
68;1.560456;0.343750;-1.000000;
69;1.455543;0.406250;-1.000000;
70;1.167622;0.656250;-1.000000;
71;1.425978;0.437500;-1.000000;
72;1.312719;0.500000;-1.000000;
73;1.283681;0.531250;-1.000000;
74;1.495446;0.375000;-1.000000;
75;1.415409;0.468750;-1.000000;
76;1.395861;0.468750;-1.000000;
77;1.270985;0.562500;-1.000000;
78;1.447837;0.468750;-1.000000;
79;1.437707;0.406250;-1.000000;
80;1.312384;0.562500;-1.000000;
81;1.452253;0.406250;-1.000000;
82;1.321828;0.531250;-1.000000;
83;1.189941;0.593750;-1.000000;
84;1.339152;0.437500;-1.000000;
85;1.461048;0.437500;-1.000000;
86;1.132077;0.642857;-1.000000;
87;1.400974;0.437500;-1.000000;
88;1.354353;0.468750;-1.000000;
89;1.458230;0.468750;-1.000000;
90;1.453865;0.468750;-1.000000;
91;1.265042;0.562500;-1.000000;
92;1.352947;0.468750;-1.000000;
93;1.317216;0.531250;-1.000000;
94;1.391758;0.437500;-1.000000;
95;1.174650;0.625000;-1.000000;
96;1.253231;0.593750;-1.000000;
97;1.516776;0.343750;-1.000000;
98;1.442320;0.406250;-1.000000;
99;1.148140;0.656250;-1.000000;
100;1.411161;0.437500;-1.000000;
101;1.308907;0.500000;-1.000000;
102;1.286555;0.531250;-1.000000;
103;1.513892;0.375000;-1.000000;
104;1.405544;0.468750;-1.000000;
105;1.367664;0.468750;-1.000000;
106;1.266446;0.562500;-1.000000;
107;1.448967;0.468750;-1.000000;
108;1.433764;0.406250;-1.000000;
109;1.293951;0.562500;-1.000000;
110;1.469726;0.406250;-1.000000;
111;1.305871;0.531250;-1.000000;
112;1.246274;0.593750;-1.000000;
113;1.351201;0.437500;-1.000000;
114;1.458155;0.437500;-1.000000;
115;1.126614;0.642857;-1.000000;
116;1.437505;0.437500;-1.000000;
