id;train_loss;train_acc;val_acc;val_loss
0;1.401807;0.489177;0.489899;
1;1.369275;0.492424;0.489899;
2;1.355715;0.492424;0.489899;
3;1.352558;0.492424;0.489899;
4;1.343514;0.492424;0.489899;
5;1.335657;0.492424;0.489899;
6;1.327413;0.494589;0.489899;
7;1.307909;0.495671;0.489899;
8;1.299249;0.497835;0.484848;
9;1.279901;0.507576;0.484848;
10;1.270490;0.502165;0.484848;
11;1.276322;0.509740;0.484848;
12;1.275645;0.492424;0.494949;
13;1.246850;0.510823;0.479798;
14;1.237411;0.514069;0.479798;
15;1.239841;0.515152;0.479798;
16;1.246045;0.504329;0.479798;
17;1.242747;0.510823;0.474747;
18;1.232298;0.516234;0.479798;
19;1.221164;0.527056;0.479798;
20;1.242749;0.515152;0.479798;
21;1.230270;0.520563;0.479798;
22;1.214736;0.522727;0.479798;
23;1.213001;0.521645;0.474747;
24;1.210917;0.534632;0.479798;
25;1.204764;0.522727;0.469697;
26;1.202223;0.532468;0.474747;
27;1.208265;0.532468;0.469697;
28;1.195134;0.524892;0.464646;
29;1.197618;0.543290;0.459596;
30;1.206709;0.518398;0.469697;
31;1.194150;0.527056;0.469697;
32;1.188390;0.521645;0.469697;
33;1.183944;0.542208;0.474747;
34;1.170786;0.536797;0.479798;
35;1.188196;0.532468;0.484848;
36;1.174871;0.529221;0.489899;
37;1.163239;0.548701;0.489899;
38;1.158267;0.542208;0.489899;
39;1.159762;0.554113;0.494949;
40;1.163288;0.545455;0.489899;
41;1.171479;0.546537;0.494949;
42;1.151196;0.558442;0.500000;
43;1.152830;0.559524;0.500000;
44;1.133506;0.559524;0.494949;
45;1.127017;0.569264;0.510101;
46;1.137475;0.546537;0.510101;
47;1.143085;0.557359;0.505051;
48;1.131281;0.561688;0.494949;
49;1.141872;0.536797;0.494949;
50;1.134571;0.556277;0.489899;
51;1.142267;0.559524;0.494949;
52;1.140874;0.548701;0.500000;
53;1.118237;0.563853;0.484848;
54;1.111270;0.581169;0.489899;
55;1.122834;0.573593;0.489899;
56;1.099294;0.575758;0.500000;
57;1.090559;0.575758;0.474747;
58;1.119864;0.569264;0.474747;
59;1.089465;0.588745;0.494949;
60;1.093253;0.586580;0.494949;
61;1.105821;0.576840;0.474747;
62;1.091946;0.588745;0.500000;
63;1.077697;0.593074;0.494949;
64;1.067468;0.599567;0.489899;
65;1.087730;0.582251;0.484848;
66;1.079366;0.589827;0.500000;
67;1.081601;0.577922;0.489899;
68;1.083056;0.571429;0.484848;
69;1.056001;0.591991;0.479798;
70;1.083998;0.588745;0.489899;
71;1.076717;0.582251;0.474747;
72;1.052105;0.598485;0.484848;
73;1.080119;0.579004;0.484848;
74;1.036733;0.599567;0.494949;
75;1.051337;0.617965;0.484848;
76;1.028786;0.596320;0.484848;
77;1.036541;0.600649;0.484848;
78;1.041724;0.593074;0.500000;
79;1.030285;0.616883;0.489899;
80;1.057061;0.587662;0.489899;
81;1.036322;0.619048;0.500000;
82;1.036326;0.601732;0.484848;
83;1.036719;0.593074;0.500000;
84;1.034742;0.614719;0.474747;
85;1.045004;0.600649;0.494949;
86;1.037265;0.609307;0.494949;
87;1.026542;0.607143;0.500000;
88;1.011573;0.621212;0.510101;
89;1.042752;0.611472;0.500000;
90;1.028836;0.611472;0.515152;
91;1.011704;0.617965;0.510101;
92;0.997755;0.603896;0.505051;
93;1.009313;0.611472;0.510101;
94;0.981425;0.633117;0.484848;
95;1.011903;0.597403;0.505051;
96;1.005823;0.624459;0.525253;
97;0.971715;0.635281;0.500000;
98;0.975174;0.625541;0.484848;
99;0.978841;0.611472;0.500000;
100;1.000234;0.634199;0.510101;
101;0.976073;0.640693;0.510101;
102;0.956611;0.637446;0.479798;
103;0.967169;0.627706;0.540404;
104;0.960566;0.624459;0.494949;
105;0.966728;0.630952;0.489899;
106;0.954885;0.632035;0.510101;
107;0.967494;0.636364;0.520202;
108;0.939507;0.630952;0.474747;
109;0.951035;0.621212;0.489899;
110;0.938319;0.637446;0.494949;
111;0.940888;0.645022;0.489899;
112;0.948740;0.627706;0.500000;
113;0.957250;0.643939;0.520202;
114;0.953817;0.635281;0.515152;
115;0.946940;0.624459;0.489899;
116;0.933220;0.625541;0.515152;
117;0.944597;0.647186;0.484848;
118;0.947473;0.630952;0.530303;
119;0.915516;0.650433;0.505051;
120;0.914318;0.639610;0.530303;
121;0.936048;0.647186;0.489899;
122;0.914191;0.651515;0.500000;
123;0.925850;0.634199;0.520202;
124;0.898486;0.668831;0.505051;
125;0.923386;0.655844;0.520202;
126;0.905262;0.659091;0.535354;
127;0.912564;0.654762;0.540404;
128;0.905104;0.642857;0.520202;
129;0.885393;0.667749;0.520202;
130;0.873184;0.673160;0.505051;
131;0.897040;0.648268;0.474747;
132;0.872699;0.675325;0.520202;
133;0.897780;0.646104;0.505051;
134;0.879613;0.667749;0.510101;
135;0.896572;0.660173;0.535354;
136;0.899894;0.653680;0.535354;
137;0.864717;0.682900;0.520202;
138;0.890947;0.662338;0.525253;
139;0.883563;0.676407;0.515152;
140;0.871576;0.662338;0.520202;
141;0.881370;0.665584;0.535354;
142;0.874494;0.663420;0.560606;
143;0.868833;0.670996;0.535354;
144;0.855708;0.675325;0.560606;
145;0.853918;0.664502;0.525253;
146;0.858499;0.681818;0.540404;
