id;train_loss;train_acc;val_acc;val_loss
0;1.450670;0.462121;0.489899;
1;1.335773;0.501082;0.489899;
2;1.289968;0.508658;0.484848;
3;1.232043;0.519481;0.479798;
4;1.216648;0.530303;0.484848;
5;1.182653;0.529221;0.489899;
6;1.169873;0.551948;0.484848;
7;1.135091;0.550866;0.494949;
8;1.142418;0.564935;0.500000;
9;1.122281;0.563853;0.505051;
10;1.090078;0.579004;0.500000;
11;1.064148;0.588745;0.500000;
12;1.055863;0.600649;0.505051;
13;1.047558;0.606061;0.500000;
14;1.024650;0.615801;0.500000;
15;0.998093;0.636364;0.510101;
16;0.988748;0.640693;0.515152;
17;0.969956;0.628788;0.520202;
18;0.993394;0.621212;0.510101;
19;0.933080;0.652597;0.525253;
20;0.943403;0.648268;0.535354;
21;0.912999;0.662338;0.535354;
22;0.922328;0.670996;0.525253;
23;0.880761;0.663420;0.535354;
24;0.875162;0.676407;0.530303;
25;0.864198;0.682900;0.525253;
26;0.865482;0.673160;0.515152;
27;0.850070;0.689394;0.540404;
28;0.824581;0.706710;0.520202;
29;0.810569;0.706710;0.540404;
30;0.798049;0.699134;0.530303;
31;0.789259;0.706710;0.530303;
32;0.797926;0.712121;0.565657;
33;0.773845;0.725108;0.530303;
34;0.770938;0.709957;0.515152;
35;0.778796;0.716450;0.540404;
36;0.741707;0.725108;0.530303;
37;0.747744;0.725108;0.540404;
38;0.729959;0.738095;0.540404;
39;0.727652;0.746753;0.550505;
40;0.699386;0.746753;0.540404;
41;0.710937;0.724026;0.545455;
42;0.687461;0.748918;0.550505;
43;0.662286;0.743506;0.540404;
44;0.661680;0.747835;0.535354;
45;0.637280;0.774892;0.505051;
46;0.638812;0.767316;0.540404;
47;0.618811;0.758658;0.540404;
48;0.634294;0.756494;0.530303;
49;0.610027;0.782468;0.520202;
50;0.598215;0.787879;0.550505;
51;0.572980;0.780303;0.530303;
52;0.609402;0.769481;0.525253;
53;0.586152;0.790043;0.530303;
54;0.583775;0.775974;0.530303;
55;0.547281;0.803030;0.535354;
56;0.546913;0.795455;0.530303;
57;0.557179;0.795455;0.540404;
58;0.518748;0.813853;0.530303;
59;0.508098;0.809524;0.535354;
60;0.496953;0.823593;0.520202;
61;0.507821;0.803030;0.515152;
62;0.496723;0.830087;0.510101;
63;0.507025;0.806277;0.545455;
64;0.485835;0.820346;0.530303;
65;0.454454;0.836580;0.525253;
66;0.440034;0.843074;0.545455;
67;0.475846;0.822511;0.555556;
68;0.425823;0.848485;0.550505;
69;0.417022;0.852814;0.500000;
70;0.438192;0.835498;0.545455;
71;0.413876;0.858225;0.520202;
72;0.392172;0.856061;0.545455;
73;0.383607;0.872294;0.550505;
74;0.396513;0.860390;0.520202;
75;0.390981;0.853896;0.530303;
76;0.382764;0.864719;0.550505;
77;0.361607;0.876623;0.525253;
78;0.356984;0.863636;0.535354;
79;0.364627;0.864719;0.560606;
80;0.369306;0.870130;0.540404;
81;0.338180;0.879870;0.550505;
82;0.336922;0.876623;0.520202;
83;0.330292;0.883117;0.535354;
84;0.334736;0.883117;0.555556;
85;0.377794;0.852814;0.545455;
86;0.313548;0.888528;0.540404;
87;0.287583;0.902597;0.545455;
88;0.303830;0.896104;0.555556;
89;0.306482;0.896104;0.530303;
90;0.300962;0.889610;0.535354;
91;0.290475;0.896104;0.535354;
92;0.278139;0.901515;0.530303;
93;0.272374;0.902597;0.515152;
94;0.268787;0.914502;0.550505;
95;0.241196;0.924242;0.555556;
96;0.260052;0.909091;0.535354;
97;0.242946;0.919913;0.550505;
98;0.231403;0.930736;0.530303;
99;0.269059;0.904762;0.530303;
100;0.243165;0.914502;0.520202;
101;0.241622;0.918831;0.520202;
102;0.245249;0.903680;0.530303;
103;0.246128;0.923160;0.510101;
104;0.219589;0.929654;0.525253;
105;0.229364;0.919913;0.535354;
106;0.188502;0.939394;0.525253;
107;0.202155;0.940476;0.545455;
108;0.218139;0.920996;0.560606;
109;0.188404;0.933983;0.560606;
110;0.179931;0.948052;0.550505;
111;0.174311;0.948052;0.500000;
112;0.201580;0.925325;0.530303;
113;0.198310;0.937229;0.560606;
114;0.172372;0.944805;0.570707;
115;0.172412;0.944805;0.545455;
116;0.203379;0.929654;0.545455;
117;0.157669;0.951299;0.545455;
118;0.194119;0.930736;0.545455;
119;0.163459;0.950216;0.555556;
120;0.157380;0.950216;0.555556;
121;0.151445;0.950216;0.555556;
122;0.164687;0.940476;0.565657;
123;0.130260;0.962121;0.555556;
124;0.141958;0.961039;0.540404;
125;0.128242;0.962121;0.550505;
126;0.151806;0.945887;0.540404;
127;0.125221;0.963203;0.555556;
128;0.147141;0.949134;0.520202;
129;0.133744;0.955628;0.520202;
130;0.132253;0.963203;0.530303;
131;0.141454;0.951299;0.535354;
132;0.120668;0.961039;0.580808;
133;0.152528;0.951299;0.530303;
134;0.122972;0.969697;0.515152;
135;0.103685;0.974026;0.525253;
136;0.112068;0.968615;0.525253;
137;0.112782;0.969697;0.565657;
138;0.109500;0.968615;0.555556;
139;0.108180;0.964286;0.550505;
140;0.089254;0.978355;0.540404;
141;0.085845;0.978355;0.510101;
142;0.108188;0.966450;0.570707;
143;0.122731;0.955628;0.570707;
144;0.084508;0.978355;0.550505;
145;0.090371;0.971861;0.560606;
146;0.109684;0.968615;0.550505;
147;0.076529;0.982684;0.550505;
148;0.071763;0.984848;0.580808;
149;0.086856;0.975108;0.565657;
150;0.096444;0.975108;0.550505;
151;0.076664;0.979437;0.575758;
152;0.073238;0.982684;0.560606;
153;0.071941;0.982684;0.540404;
154;0.078461;0.981602;0.545455;
155;0.083334;0.978355;0.535354;
156;0.067714;0.978355;0.520202;
157;0.072236;0.980519;0.580808;
158;0.069897;0.977273;0.560606;
159;0.063158;0.979437;0.575758;
160;0.062463;0.982684;0.560606;
161;0.076792;0.976190;0.545455;
162;0.083632;0.975108;0.560606;
163;0.063783;0.981602;0.535354;
164;0.055072;0.990260;0.515152;
165;0.066299;0.984848;0.570707;
166;0.065768;0.981602;0.555556;
167;0.055162;0.987013;0.590909;
168;0.072842;0.980519;0.530303;
169;0.053574;0.985931;0.550505;
170;0.047172;0.987013;0.520202;
171;0.043502;0.989177;0.595960;
172;0.057064;0.982684;0.550505;
173;0.043242;0.987013;0.570707;
174;0.047249;0.985931;0.570707;
175;0.052138;0.988095;0.580808;
176;0.046221;0.993506;0.530303;
177;0.056135;0.982684;0.555556;
178;0.050164;0.987013;0.585859;
179;0.051113;0.989177;0.555556;
180;0.054899;0.982684;0.525253;
181;0.044618;0.985931;0.575758;
182;0.043822;0.989177;0.565657;
183;0.037967;0.988095;0.560606;
184;0.044682;0.990260;0.530303;
185;0.042368;0.988095;0.535354;
186;0.033894;0.991342;0.575758;
187;0.044370;0.992424;0.580808;
188;0.032125;0.996753;0.555556;
189;0.039916;0.989177;0.580808;
190;0.030961;0.994589;0.580808;
191;0.038375;0.990260;0.580808;
192;0.045249;0.982684;0.545455;
193;0.040577;0.990260;0.555556;
194;0.041854;0.987013;0.530303;
195;0.031440;0.991342;0.550505;
196;0.037394;0.989177;0.585859;
197;0.026920;0.994589;0.530303;
198;0.034179;0.992424;0.550505;
199;0.042075;0.987013;0.606061;
200;0.032426;0.992424;0.580808;
201;0.034161;0.990260;0.550505;
202;0.026161;0.995671;0.570707;
203;0.034330;0.993506;0.590909;
204;0.032371;0.989177;0.550505;
205;0.039758;0.985931;0.555556;
206;0.033391;0.991342;0.535354;
207;0.028959;0.993506;0.570707;
208;0.030321;0.992424;0.570707;
209;0.031238;0.990260;0.570707;
210;0.028232;0.991342;0.540404;
211;0.030898;0.993506;0.550505;
212;0.027803;0.995671;0.555556;
213;0.024453;0.994589;0.540404;
214;0.036366;0.990260;0.555556;
215;0.019455;0.994589;0.570707;
216;0.025073;0.994589;0.580808;
217;0.025751;0.991342;0.575758;
218;0.024898;0.995671;0.545455;
219;0.018326;0.995671;0.550505;
220;0.028730;0.993506;0.565657;
221;0.019312;0.996753;0.550505;
222;0.033577;0.988095;0.570707;
223;0.016822;0.997835;0.560606;
224;0.017712;0.995671;0.540404;
225;0.030292;0.992424;0.565657;
226;0.025187;0.990260;0.560606;
227;0.025772;0.991342;0.550505;
228;0.024388;0.994589;0.535354;
229;0.018577;0.993506;0.560606;
230;0.026138;0.993506;0.535354;
231;0.025420;0.992424;0.570707;
232;0.018585;0.995671;0.565657;
233;0.018542;0.995671;0.560606;
234;0.020676;0.995671;0.560606;
235;0.025127;0.993506;0.560606;
236;0.014066;0.997835;0.535354;
237;0.019017;0.997835;0.580808;
238;0.021732;0.995671;0.565657;
239;0.023314;0.996753;0.550505;
240;0.022449;0.994589;0.555556;
241;0.020614;0.994589;0.570707;
242;0.011063;0.998918;0.560606;
243;0.014095;0.995671;0.570707;
244;0.020372;0.992424;0.560606;
